Actual Prices,Prediction Prices,Date
0.399726003,0.3890405,04-02-2023
0.392471999,0.39175728,05-02-2023
0.382420987,0.39363593,06-02-2023
0.399210006,0.393834,07-02-2023
0.394033015,0.39352772,08-02-2023
0.362531006,0.39296308,09-02-2023
0.358635008,0.39034146,10-02-2023
0.369201988,0.38546953,11-02-2023
0.364295989,0.37981892,12-02-2023
0.359627008,0.37417126,13-02-2023
0.386440992,0.3688689,14-02-2023
0.41811499,0.3659128,15-02-2023
0.387901992,0.36760515,16-02-2023
0.403943002,0.371664,17-02-2023
0.406331003,0.37738386,18-02-2023
0.400106996,0.38389468,19-02-2023
0.404002994,0.38987818,20-02-2023
0.392417014,0.39486203,21-02-2023
0.388920993,0.39787915,22-02-2023
0.383022994,0.39867204,23-02-2023
0.365819007,0.39729655,24-02-2023
0.362363994,0.39333382,25-02-2023
0.368972987,0.3873346,26-02-2023
0.364899009,0.3807992,27-02-2023
0.352454007,0.37455392,28-02-2023
0.360356003,0.36844087,01-03-2023
0.350205988,0.36321953,02-03-2023
0.342736989,0.35865077,03-03-2023
0.336499006,0.3543113,04-03-2023
0.337101996,0.3498848,05-03-2023
0.330821007,0.34559193,06-03-2023
0.33048299,0.3413803,07-03-2023
0.317577004,0.33745092,08-03-2023
0.309677988,0.3332932,09-03-2023
0.315342009,0.32856235,10-03-2023
0.307327002,0.32389274,11-03-2023
0.331539005,0.3193338,12-03-2023
0.344585001,0.31654668,13-03-2023
0.344307989,0.31667855,14-03-2023
0.324636996,0.31943536,15-03-2023
0.325383008,0.32272512,16-03-2023
0.350524008,0.32545504,17-03-2023
0.337711006,0.32869923,18-03-2023
0.34601,0.3318141,19-03-2023
0.332594991,0.33488256,20-03-2023
0.371235996,0.3369671,21-03-2023
0.360612988,0.34014335,22-03-2023
0.37204501,0.34411743,23-03-2023
0.360083014,0.34900948,24-03-2023
0.351996005,0.35360205,25-03-2023
0.356245011,0.3567225,26-03-2023
0.345510006,0.35837266,27-03-2023
0.368353993,0.3581733,28-03-2023
0.381588995,0.35784942,29-03-2023
